city_ascii,state_id,state_name,county_name,population,density,timezone
Kankakee,IL,Illinois,Kankakee,77429,668,America/Chicago
Watsonville,CA,California,Santa Cruz,77352,3109,America/Los_Angeles
Porterville,CA,California,Tulare,77318,1236,America/Los_Angeles
Baytown,TX,Texas,Harris,77192,807,America/Chicago
Upland,CA,California,San Bernardino,77140,1907,America/Los_Angeles
Davis,CA,California,Yolo,76997,2710,America/Los_Angeles
Camarillo,CA,California,Ventura,76931,1371,America/Los_Angeles
South Jordan,UT,Utah,Salt Lake,76598,1331,America/Denver
Battle Creek,MI,Michigan,Calhoun,76514,463,America/Detroit
Bellflower,CA,California,Los Angeles,76435,4822,America/Los_Angeles
Jonesboro,AR,Arkansas,Craighead,76247,377,America/Chicago
San Marcos,TX,Texas,Hays,76218,732,America/Chicago
San Ramon,CA,California,Contra Costa,75995,1570,America/Los_Angeles
Lake Jackson,TX,Texas,Brazoria,75860,532,America/Chicago
Bethlehem,PA,Pennsylvania,Northampton,75815,1531,America/New_York
Wyoming,MI,Michigan,Kent,75667,1186,America/Detroit
Pine Hills,FL,Florida,Orange,75575,2392,America/New_York
Oshkosh,WI,Wisconsin,Winnebago,75536,958,America/Chicago
Hammond,IN,Indiana,Lake,75522,1282,America/Chicago
Missouri City,TX,Texas,Fort Bend,75457,1003,America/Chicago
Centreville,VA,Virginia,Fairfax,75452,2439,America/New_York
Pasco,WA,Washington,Franklin,75432,858,America/Los_Angeles
Wheeling,WV,West Virginia,Ohio,75392,740,America/New_York
Baldwin Park,CA,California,Los Angeles,75251,4381,America/Los_Angeles
Rancho Cordova,CA,California,Sacramento,75087,827,America/Los_Angeles
Caguas,PR,Puerto Rico,Caguas,74980,2656,America/Puerto_Rico
Conway,AR,Arkansas,Faulkner,74951,567,America/Chicago
Gary,IN,Indiana,Lake,74879,581,America/Chicago
Altoona,PA,Pennsylvania,Blair,74829,1710,America/New_York
Lodi,CA,California,San Joaquin,74773,1913,America/Los_Angeles
Arlington Heights,IL,Illinois,Cook,74760,1738,America/Chicago
